station,date,angle,angle_1,angle_2,str,fromto,dist
501360-99999,2003-1-1,160.334869536,127.798404412,174.80688516,8,True,34.604482832
501360-99999,2003-1-11,146.18081103,143.28344406,149.213732092,5,True,37.5189417915
501360-99999,2003-1-11,163.268891013,160.15600597,167.340292681,4,True,34.071881234
501360-99999,2003-1-16,163.268891013,160.15600597,167.340292681,4,True,34.071881234
501360-99999,2003-1-16,172.562416648,170.438431867,174.80688516,4,True,28.4941579021
501360-99999,2003-1-16,196.838909929,189.104302317,207.495409978,4,True,22.6033355653
501360-99999,2003-1-21,196.838909929,189.104302317,207.495409978,4,True,22.6033355653
501360-99999,2003-1-26,141.511360684,135.26727996,145.789619293,4,True,49.1983295691
501360-99999,2003-1-26,160.754789587,149.213732092,167.812833245,4,True,51.6384849348
501360-99999,2003-1-26,201.951736739,189.104302317,222.403043979,5,True,20.3996703326
501360-99999,2003-1-31,162.826987735,149.89108055,170.438431867,5,True,54.2373714462
501360-99999,2003-1-6,138.748225666,116.040639499,149.213732092,8,True,44.537847811
501360-99999,2003-1-6,164.230387747,160.15600597,168.076374687,5,True,28.2858334332
501360-99999,2003-10-18,173.986050086,171.611018994,178.033965664,5,True,49.8372825507
501360-99999,2003-10-23,163.621472633,149.213732092,172.930562882,9,True,48.5594727376
501360-99999,2003-10-28,154.148062934,127.798404412,172.930562882,16,True,48.5156360031
501360-99999,2003-11-17,133.818624603,113.55556633,153.466383385,6,False,48.9777468275
501360-99999,2003-11-2,156.575529203,126.073994801,172.140157723,14,True,53.3935668142
501360-99999,2003-11-22,139.565854255,113.55556633,167.340292681,13,False,54.5323304184
501360-99999,2003-11-27,128.417943567,97.6964359346,145.789619293,13,False,55.7256154578
501360-99999,2003-11-27,160.151884342,149.89108055,172.930562882,7,False,41.9963905801
501360-99999,2003-11-7,168.49771078,161.738528599,175.214545169,8,True,42.0358799822
501360-99999,2003-11-7,146.189757081,134.787481608,154.607946301,7,True,55.1843690161
501360-99999,2003-12-2,128.854802327,97.6964359346,145.789619293,10,False,51.5925885019
501360-99999,2003-12-2,160.151884342,149.89108055,172.930562882,7,False,41.9963905801
501360-99999,2003-2-10,181.104577679,153.466383385,226.989721811,13,True,33.0586882324
501360-99999,2003-2-15,192.667915117,171.611018994,226.989721811,9,True,27.0337707354
501360-99999,2003-2-5,164.416673263,153.466383385,174.80688516,9,True,48.8392375624
501360-99999,2003-2-5,188.984999757,176.079769289,197.386909412,4,True,24.5438133181
501360-99999,2003-3-12,135.530720825,132.556697151,139.327226141,4,True,48.4797253323
501360-99999,2003-3-12,173.972751003,172.073786682,176.079769289,4,True,28.3558962467
501360-99999,2003-3-17,202.869072305,189.104302317,226.989721811,5,True,22.6282796956
501360-99999,2003-3-17,135.675740302,132.556697151,139.327226141,5,True,50.6883484377
501360-99999,2003-3-22,131.535604354,119.547399814,136.255818208,5,True,61.1060255429
501360-99999,2003-4-11,205.244085879,189.104302317,226.989721811,4,True,22.2839051526
501360-99999,2003-4-16,205.244085879,189.104302317,226.989721811,4,True,22.2839051526
501360-99999,2003-4-16,143.094561779,139.327226141,145.789619293,4,True,31.7660646043
501360-99999,2003-4-21,143.094561779,139.327226141,145.789619293,4,True,31.7660646043
501360-99999,2003-4-21,165.525894469,161.200790948,169.184019794,4,False,41.8040161815
501360-99999,2003-4-26,148.354097768,131.194060181,157.459893028,5,False,47.9529732675
501360-99999,2003-5-11,187.798194254,172.073786682,207.495409978,5,True,25.0370169513
501360-99999,2003-5-11,151.894134167,148.639302083,154.460001037,4,False,49.5052422524
501360-99999,2003-5-16,189.287604607,172.073786682,226.989721811,6,True,27.7379836992
501360-99999,2003-5-16,153.120104735,148.639302083,157.459893028,7,False,46.4008589646
501360-99999,2003-5-21,187.622956882,163.137647633,226.989721811,9,True,29.6933089117
501360-99999,2003-5-21,125.903748203,116.040639499,135.26727996,4,False,55.2288189353
