station,angle,angle_1,angle_2,str,fromto,dist
508880-99999,2003-10-13,124.979083602,121.310420888,128.83732267,5,False,35.7758431955
508880-99999,2003-4-16,150.243741395,146.119573989,154.503305947,5,False,48.8923500616
508880-99999,2003-4-16,63.2248824461,44.3558040183,78.1894807302,4,False,54.5741029849
508880-99999,2003-8-24,73.2219730059,44.3558040183,94.3539287974,5,True,40.841796395
508880-99999,2003-8-24,112.698845555,105.945154916,117.433676555,5,True,61.2019572958
508880-99999,2003-8-29,72.0178565421,39.6166612307,98.398469535,7,True,35.5829463617
508880-99999,2003-11-27,110.456545094,105.945154916,112.748272123,5,False,69.6711199243
508880-99999,2003-11-27,123.671884208,116.115863699,132.508452356,5,False,56.7137408311
508880-99999,2003-11-22,127.468555898,102.44812875,149.352671145,17,False,55.7313525417
508880-99999,2003-1-16,119.281472677,106.888113696,128.83732267,6,True,34.2610000574
508880-99999,2003-1-16,63.3266462252,44.3558040183,78.5965358468,4,False,60.3592354628
508880-99999,2003-6-30,111.370969687,105.945154916,119.434058355,4,True,55.8189009037
508880-99999,2003-9-23,105.821534903,96.62229063,117.668669179,7,True,50.6723037021
508880-99999,2003-9-23,93.0013028887,90.3067625844,96.2060450035,4,False,60.7382696138
508880-99999,2003-9-28,117.02339921,111.638886076,119.763076693,4,True,48.3452500145
508880-99999,2003-9-28,93.0013028887,90.3067625844,96.2060450035,4,False,60.7382696138
508880-99999,2003-9-28,140.431710587,137.099922506,144.07561911,4,False,58.0847919159
508880-99999,2003-5-26,130.326898529,126.413462134,137.099922506,4,False,46.2831871964
508880-99999,2003-6-10,131.850646085,128.843630289,137.099922506,4,False,58.5415288585
508880-99999,2003-5-16,88.7466519177,78.1894807302,97.6887639191,5,True,74.1816126496
508880-99999,2003-5-16,135.331779051,128.950579187,141.640107322,4,True,47.7972948081
508880-99999,2003-1-31,96.4102181564,94.3539287974,98.6419440637,4,False,43.2939274523
508880-99999,2003-3-12,126.196758899,119.022964893,135.399623909,5,True,31.6849871472
508880-99999,2003-2-5,116.330194318,112.748272123,119.022964893,4,True,53.5979449753
508880-99999,2003-3-17,133.918521237,126.331500171,149.953999106,5,True,24.1118486049
508880-99999,2003-7-30,98.8563993222,96.2060450035,102.179138687,4,True,44.0909909741
508880-99999,2003-2-25,114.542922769,111.638886076,117.668669179,4,False,57.0422270465
508880-99999,2003-5-11,88.7466519177,78.1894807302,97.6887639191,5,True,74.1816126496
508880-99999,2003-5-11,136.879412542,128.950579187,147.830641289,4,True,45.8316172019
508880-99999,2003-5-11,119.405094478,110.782980822,125.734935633,5,False,66.2261747288
508880-99999,2003-11-17,124.533402913,91.1384751695,149.352671145,17,False,48.3876166262
508880-99999,2003-8-19,112.569418998,105.945154916,117.433676555,4,True,68.3574989729
508880-99999,2003-8-19,126.814270219,123.365948803,129.97228937,4,True,40.1655059599
508880-99999,2003-3-2,118.497358024,102.179138687,128.83732267,5,True,36.3423202368
508880-99999,2003-7-10,75.5697379219,44.3558040183,90.6963487998,6,True,54.6342855653
508880-99999,2003-4-26,150.243741395,146.119573989,154.503305947,5,False,48.8923500616
508880-99999,2003-4-26,93.5080877089,89.1621262478,98.398469535,6,False,57.4282420784
508880-99999,2003-4-26,111.120721378,105.945154916,116.115863699,4,False,66.1374471094
