station,date,angle,angle_1,angle_2,str,fromto,dist
508880-99999,2003-1-16,105.272019331,97.0801663801,119.022964893,5,True,33.6712272138
508880-99999,2003-1-21,138.30420653,126.413462134,149.953999106,6,True,22.1491153249
508880-99999,2003-1-21,106.99040678,97.0801663801,119.022964893,4,True,36.5531374322
508880-99999,2003-1-26,103.477276058,95.5648333843,107.996886516,5,False,46.8445612411
508880-99999,2003-1-31,135.449343173,112.748272123,149.352671145,4,True,47.5654627159
508880-99999,2003-2-5,146.918917365,144.372783038,149.352671145,4,True,47.4693978012
508880-99999,2003-3-12,118.739918807,98.398469535,128.83732267,4,True,32.1481666877
508880-99999,2003-3-22,127.814533087,119.434058355,138.056322103,5,True,35.0957564731
508880-99999,2003-4-16,139.488300173,121.310420888,153.412514606,4,False,51.7613106061
508880-99999,2003-5-6,121.362173328,110.782980822,126.331500171,4,False,52.9999253554
508880-99999,2003-5-11,123.287532121,105.945154916,149.953999106,7,False,52.0506328376
508880-99999,2003-5-16,124.387845454,105.945154916,149.953999106,5,False,46.108514711
508880-99999,2003-5-26,132.851627506,126.413462134,147.198838412,4,False,39.7747598101
508880-99999,2003-7-30,125.826331972,105.945154916,142.191350132,4,False,50.706165229
508880-99999,2003-8-14,313.149283292,144.07561911,124.968263515,4,True,54.3930841666
508880-99999,2003-9-18,138.797859517,113.216551781,149.953999106,7,True,33.212128278
508880-99999,2003-9-28,96.5999496835,91.1384751695,102.179138687,6,False,44.1068861347
508880-99999,2003-10-3,97.6348784654,90.6963487998,110.782980822,8,False,51.601904436
508880-99999,2003-11-17,135.083430849,113.216551781,149.352671145,10,False,46.9241055694
508880-99999,2003-11-27,114.866496493,105.945154916,126.331500171,5,False,67.87071043
508880-99999,2003-12-2,114.799231657,98.398469535,126.331500171,5,False,59.4822609227
535640-99999,2003-1-1,87.5652687641,69.7665643764,111.745028732,7,False,41.4412678403
535640-99999,2003-1-6,89.4250499474,69.7665643764,111.745028732,8,False,40.5856806852
535640-99999,2003-1-11,198.265634855,184.08878739,207.672688176,4,True,33.1039722093
535640-99999,2003-1-26,199.752839056,162.639620237,228.354951955,9,True,27.1639410901
535640-99999,2003-1-31,211.824274479,141.051009804,301.256945296,17,True,29.601752117
535640-99999,2003-2-5,195.447800774,141.051009804,254.756350108,11,True,28.2923738567
535640-99999,2003-2-10,194.419696461,162.639620237,228.354951955,7,True,28.3488256993
535640-99999,2003-3-22,77.6907819225,69.7665643764,86.5380474092,5,False,43.399775707
535640-99999,2003-4-11,327.310341715,228.354951955,249.977877863,4,True,16.091416552
535640-99999,2003-4-26,79.5600131048,69.7665643764,86.5380474092,4,False,32.3087879453
535640-99999,2003-5-1,79.5600131048,69.7665643764,86.5380474092,4,False,32.3087879453
535640-99999,2003-5-6,103.384465388,86.5380474092,119.561020415,6,False,32.6114231006
535640-99999,2003-5-16,190.94880844,162.639620237,214.209262769,6,False,24.8091812291
535640-99999,2003-7-20,82.7423019816,42.1665892074,103.073420703,8,False,28.3781678158
535640-99999,2003-8-24,92.2589667852,72.7931633379,102.384885462,4,False,24.67990358
535640-99999,2003-9-8,90.9672054717,68.2508796212,133.224591736,8,False,30.9991815821
535640-99999,2003-9-13,228.39421011,203.508016387,249.977877863,4,True,19.3992457991
535640-99999,2003-9-13,94.4061667776,69.7665643764,133.224591736,7,False,32.0158870125
535640-99999,2003-9-18,231.098607823,203.508016387,249.977877863,4,True,17.7155903814
535640-99999,2003-9-18,86.5881761961,69.7665643764,105.67103841,5,False,34.6390487434
535640-99999,2003-9-28,246.88984635,213.557629738,290.249367083,8,True,22.3107457899
535640-99999,2003-10-3,238.009898498,178.344777634,292.220036761,11,True,22.5610911804
535640-99999,2003-10-8,224.896873562,185.30111668,254.756350108,7,True,21.8261924234
535640-99999,2003-10-13,207.085866573,158.52104949,254.756350108,11,True,22.6241065179
535640-99999,2003-10-18,102.562138152,85.2292260271,119.561020415,4,True,41.7080368065
535640-99999,2003-10-18,203.596360473,173.433543874,249.977877863,9,True,23.0415208834
535640-99999,2003-10-23,202.315604588,158.52104949,249.977877863,8,True,20.0258127527
535640-99999,2003-11-17,183.516149947,150.665280156,207.672688176,4,True,31.0357778023
542730-99999,2003-1-26,139.01995747,121.321255637,151.393155026,6,True,39.5829153517
