"StartDate\Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"01-01","96","135","149","85","93","101","182","197","137","147"
"01-06","103","150","125","90","98","104","181","184","164","166"
"01-11","117","147","129","120","90","80","176","191","135","193"
"01-16","160","138","144","136","110","109","171","191","96","191"
"01-21","156","107","154","164","157","109","165","160","119","194"
"01-26","156","117","171","189","158","127","143","138","92","187"
"01-31","140","153","159","195","139","136","141","178","99","172"
"02-05","158","167","174","191","149","136","144","192","108","152"
"02-10","136","191","185","198","186","137","142","203","110","121"
"02-15","120","209","202","224","166","152","196","197","175","133"
"02-20","110","228","201","221","151","173","201","197","179","131"
"02-25","112","232","198","224","148","154","195","197","214","144"
"03-02","131","225","190","216","128","163","199","181","208","138"
"03-07","137","209","176","232","127","163","193","187","198","154"
"03-12","131","208","136","173","64","133","93","187","179","138"
"03-17","150","159","140","239","70","95","76","166","151","138"
"03-22","183","158","142","230","96","86","61","138","143","137"
"03-27","161","170","141","219","94","90","53","149","154","133"
"04-01","162","192","132","210","92","82","60","161","149","143"
"04-06","183","205","169","212","105","98","63","150","162","140"
"04-11","180","204","153","120","113","138","62","131","155","143"
"04-16","140","130","145","116","136","133","48","136","141","113"
"04-21","121","93","139","113","114","149","58","131","127","107"
"04-26","125","73","127","149","123","135","59","121","123","71"
"05-01","99","58","114","142","128","128","54","122","108","83"
"05-06","64","49","56","127","136","88","52","126","114","92"
"05-11","54","47","79","119","117","84","47","120","120","89"
"05-16","64","40","83","118","116","80","105","111","107","90"
"05-21","58","85","97","93","103","85","82","102","90","83"
"05-26","43","81","73","78","86","99","73","76","68","78"
"05-31","47","73","89","84","55","89","76","57","55","49"
"06-05","38","60","74","83","63","77","71","54","48","49"
"06-10","44","61","53","69","62","74","83","49","36","51"
"06-15","40","58","53","48","66","73","91","46","39","56"
"06-20","45","52","56","46","58","86","92","43","36","48"
"06-25","33","58","46","46","52","87","78","48","31","57"
"06-30","39","56","41","34","40","84","75","49","44","55"
"07-05","56","72","43","47","52","78","69","55","71","63"
"07-10","56","67","49","52","50","81","58","62","80","53"
"07-15","64","65","61","59","51","63","65","62","75","63"
"07-20","97","69","80","53","48","68","64","48","70","78"
"07-25","76","78","85","64","62","75","61","59","62","80"
"07-30","84","59","80","68","1","77","47","57","55","88"
"08-04","101","57","69","80","1","94","71","55","52","87"
"08-09","87","53","88","126","1","104","92","61","54","99"
"08-14","76","70","88","128","1","118","94","63","50","98"
"08-19","80","26","82","138","0","119","88","56","57","122"
"08-24","88","34","78","141","1","90","125","100","66","88"
"08-29","64","42","79","147","96","90","114","126","58","99"
"09-03","76","54","83","104","106","83","114","142","80","107"
"09-08","91","98","100","63","109","86","105","152","87","111"
"09-13","95","94","105","77","115","84","114","143","92","113"
"09-18","110","198","142","98","109","91","117","161","79","132"
"09-23","112","184","149","112","125","79","111","94","84","173"
"09-28","129","196","167","128","129","126","112","133","107","187"
"10-03","150","125","178","143","181","114","109","128","121","176"
"10-08","178","129","168","148","164","110","172","146","114","182"
"10-13","193","157","151","180","170","121","182","188","123","163"
"10-18","92","153","160","179","173","118","153","184","130","149"
"10-23","95","153","159","180","169","89","154","183","136","147"
"10-28","101","140","146","162","156","92","156","213","169","168"
"11-02","95","188","169","163","170","140","111","197","181","172"
"11-07","75","165","169","125","173","189","103","216","180","185"
"11-12","90","182","171","96","166","225","120","224","185","177"
"11-17","173","172","159","103","154","226","108","211","175","152"
"11-22","154","163","167","121","156","229","102","212","145","157"
"11-27","170","121","169","112","101","228","145","224","152","136"
"12-02","182","133","155","133","95","224","163","218","128","154"
