"StartDate","Count"
"01-01","10"
"01-06","10"
"01-11","10"
"01-16","10"
"01-21","10"
"01-26","10"
"01-31","10"
"02-05","10"
"02-10","10"
"02-15","10"
"02-20","10"
"02-25","10"
"03-02","9"
"03-07","9"
"03-12","9"
"03-17","9"
"03-22","9"
"03-27","8"
"04-01","7"
"04-06","8"
"04-11","7"
"04-16","8"
"04-21","7"
"04-26","7"
"05-01","8"
"05-06","7"
"05-11","8"
"05-16","7"
"05-21","7"
"05-26","5"
"05-31","5"
"06-05","3"
"06-10","5"
"06-15","6"
"06-20","6"
"06-25","6"
"06-30","5"
"07-05","6"
"07-10","7"
"07-15","6"
"07-20","5"
"07-25","6"
"07-30","5"
"08-04","6"
"08-09","6"
"08-14","8"
"08-19","7"
"08-24","8"
"08-29","9"
"09-03","8"
"09-08","9"
"09-13","8"
"09-18","9"
"09-23","9"
"09-28","9"
"10-03","9"
"10-08","9"
"10-13","9"
"10-18","8"
"10-23","9"
"10-28","8"
"11-02","9"
"11-07","9"
"11-12","9"
"11-17","10"
"11-22","10"
"11-27","10"
"12-02","9"
