"StartDate","Count","Class"
"01-01","6","M"
"01-06","8","H"
"01-11","6","M"
"01-16","7","H"
"01-21","7","H"
"01-26","6","M"
"01-31","6","M"
"02-05","6","M"
"02-10","4","M"
"02-15","5","M"
"02-20","5","M"
"02-25","5","M"
"03-02","4","M"
"03-07","4","M"
"03-12","2","L"
"03-17","3","L"
"03-22","3","L"
"03-27","5","M"
"04-01","4","M"
"04-06","5","M"
"04-11","4","M"
"04-16","3","L"
"04-21","2","L"
"04-26","3","L"
"05-01","3","L"
"05-06","5","M"
"05-11","4","M"
"05-16","4","M"
"05-21","5","M"
"05-26","4","M"
"05-31","4","M"
"06-05","4","M"
"06-10","3","L"
"06-15","4","M"
"06-20","5","M"
"06-25","4","M"
"06-30","2","L"
"07-05","2","L"
"07-10","2","L"
"07-15","2","L"
"07-20","1","L"
"07-25","3","L"
"07-30","3","L"
"08-04","2","L"
"08-09","1","L"
"08-14","1","L"
"08-19","1","L"
"08-24","0","L"
"08-29","1","L"
"09-03","2","L"
"09-08","2","L"
"09-13","4","M"
"09-18","3","L"
"09-23","1","L"
"09-28","0","L"
"10-03","0","L"
"10-08","2","L"
"10-13","5","M"
"10-18","5","M"
"10-23","7","H"
"10-28","8","H"
"11-02","7","H"
"11-07","5","M"
"11-12","5","M"
"11-17","6","M"
"11-22","7","H"
"11-27","8","H"
"12-02","7","H"
